deg/s	rad/s	m	q	R**2
0.8315	0.01432	0.8315	0.0001	1
1.6494	0.02885	1.6494	0.0001	1
2.4673	0.04336	2.4673	0.0001	1
3.2852	0.05821	3.2852	0.0001	1
4.1031	0.07163	4.1031	0.0001	1
4.921	0.08472	4.921	0.0001	1
5.7389	0.10002	5.7389	0.0001	1
6.6557	0.11333	6.6557	0.0001	1
7.3747	0.12977	7.3747	0.0001	1
8.1926	0.14326	8.1926	0.0001	1
8.298	0.14483	8.298	0.0001	1
8.371	0.1461	8.371	0.0001	1
