deg/s	rad/s		m			q			R**2
0.764	0.025674144	0.7404621424037986	0.24846618556216526	0.999624
0.791	0.026635127	0.7687688871462871	1.0286180081922822	0.999509
1.064	0.036449841	1.0789592957740624	-0.5099899788349802	0.999887
1.145	0.039392126	1.148887618708478	-0.40766289985121773	0.99904
1.391	0.048399194	1.4354855803765945	-0.7694391125661184	0.999918
1.555	0.054456728	1.6064163249554946	-1.030375168448785	0.999879
1.718	0.060514264	1.7716310350058926	-0.7176054806518692	0.999959
1.773	0.062565926	1.8601562570802184	-1.2129820418876847	0.999967
1.8	0.063574466	1.8029804750747362	1.2763942250679747	0.998594
1.882	0.066642775	1.9764585056276887	-1.3172110780657675	0.999806
2.155	0.07691235	2.2671131706792313	-0.873736237383909	0.999959
2.318	0.083080802	2.4381109607991505	-0.6320745343513892	0.999974
2.673	0.096600438	2.8320520918827015	-1.296911413147015	0.999917
2.755	0.099738677	2.919543292909955	-0.8524498134364222	0.999944
2.836	0.102843974	3.0262233439179194	-1.2070352823886452	0.999951
3.0	0.109146884	3.1989800692430053	-1.4652147468887335	0.99991




